b'id',b'handle',b'message',b'location',b'polarity'
,,,,
b'1',b'renoomokri',"b'.@GEJonathan built 165 almajiri schools, with free boarding house and malam\xe2\x80\x99s quarters. You used these same almajiri to vote him out, then scrapped it. Now, you complain that Almajiri are spreading #COVID19. Who should you blame now that coro is corroding you? \n\n#BuhariTormentor'",b'Currently on exile.',0
,,,,
b'2',b'renoomokri',b'General @MBuhari has locked himself in Aso Rock and left you to your fate. You are complaining of \xe2\x80\x98strange deaths\xe2\x80\x99 in the cities @GEJonathan built almajiri schools. You thought you were doing Jonathan. You did yourself! Enjoy your coronation. You deserve it! \n\n#BuhariTormentor https://t.co/rlod5MI3zH',b'Currently on exile.',0
,,,,
b'3',b'renoomokri',"b'From the creation of Nigeria in 1914 to date, no one has shown as much love to the Northern almajiri as @GEJonathan. Yet Kwankwaso boasted that they used almajiri to vote Jonathan out. Let me ask, how exactly has General @MBuhari benefited almajiri or Kwankwaso?\n\n#BuhariTormentor https://t.co/d17zyDzXnP'",b'Currently on exile.',0
,,,,
b'4',b'Maywinzy',"b""@Segunjd @Ezenwata93 @kesandu @Musty_jnr @jeffphilips1 Thank you so much for doing more on this. He was shouting almajiri school.. No structures was found, nothing lmao. This people think we are dunce. Google is wide and I just ask him to pick one after d other what's in ur draft &amp; Google it. It is there,captured legit,not audio""","b'Lagos, Nigeria'",0
,,,,
b'5',b'xagreat',b'If you really oppose the banning of Almajiri system then do it by enrolling ur children snd siblings in tje almajiri system. I hate hypocrisy',b'Zaria',0
,,,,
b'6',b'eu_nigeria',"b""That's Donald Trump's pastor \n\nDead,18people In Critical Condition After Drinking \xe2\x80\x98Dettol\xe2\x80\x99 Giving To Them By Their Pastor In Church \xe2\x80\x93 Watch Video https://t.co/fKpLAv6goP""","b'Lagos, NIGERIA'",0
,,,,
b'7',b'SkinnyCute9000',"b""@MobilePunch If El rufai can send almajiri back to katsina say where they come from, what's the reason why they have been transported to west""","b'Lagos, Nigeria'",0
,,,,
b'8',b'MaziEmmaOgbonna',"b""Boom\xf0\x9f\x92\xa5\n\nWow, #AsoRockIsEmpty Join IPOB Supreme Leader @MaziNnamdiKanu Live Broadcast Tomorrow Being The 13/05/2020 Via His FB Page Or Radio Biafra Page.\n\nPls,Don't Forget To Inform Ur Family &amp; Friends As Well Even The Enemies Of Biafra At Large.\n\nMay God Bless You As You Listen\xf0\x9f\x99\x8f https://t.co/169eiKhxx8""",b'Ndiagu-Akpugo Enugu BiafraLand',0
,,,,
b'9',b'bryanrendleman',"b""@MariellenDalton @TheAmericanPa10 @ChuckCallesto Christians aren't the ones forcing their religion on you! Christians will live with other faiths.  Other faiths kill Christians worldwide. You are a social idiot not a warrior.  Warriors know who the enemy is.""",b'',1
,,,,
b'10',b'faye_mcgarry',"b""@realDonaldTrump Well Done! It's a shame there is only one President  Trump. We sure could do with a clone. LOL""","b'Queensland, Australia'",0
,,,,
b'11',b'andersen_arne',b'@realDonaldTrump Best in the World:\n80.684 deaths in US',b'Denmark',0
,,,,
b'12',b'AlAfersey',"b""Surprised!!! I checked out the comments section but unfortunately I can't find any Southerners appreciating what @BashirAhmaad did.\nThey are always waiting for something bad to happen from AREWA so that they will fill us with insults and calling us Almajiri/Aboki.\nVery Funny https://t.co/AqgD7HNswv""",b'Jalingo',1
,,,,
b'13',b'UbahYabiz',b'@MaziNnamdiKanu @csmonitor @USIP @EUinNigeria @USEmbassyAbuja @UKinNigeria @10DowningStreet @JohnCampbellcfr @UN @nassnigeria @StateDept The zoo Nigeria most fall!!!!! https://t.co/oTc3fQOYkR',b'',1
,,,,
b'14',b'Kar97622898',b'@osusha_27 Ask them oo..they are busy disturbing Igbo business men who helps in the economy and development of this zoo Nigeria..\nOsinbajo',b'',1
,,,,
b'15',b'andersen_arne',b'@realDonaldTrump 80.684 deaths in US',b'Denmark',0
,,,,
b'16',b'UcheAmajuoyi',"b'@MaziNnamdiKanu @csmonitor @USIP @EUinNigeria @USEmbassyAbuja @UKinNigeria @10DowningStreet @JohnCampbellcfr @UN @nassnigeria @StateDept Exactly what they are doing since 1960 till date, But we the Biafran shall put a stop to that nonsense of statement of Ahmadu Bello to an End. With the help of Elohim the creator of heaven and earth and help of Mazi Nnamdi kanu the supreme leader of IPOB we shall prevail..'",b'',0
,,,,
b'17',b'bossman_riche',"b'@SaharaReporters @GovWike I read a story of how this said governor demolished a hotel for flouting lock down order...our leaders are just power drunk, the law is made for the less privileged..a fine would have been the best.. SMH for a Zoo called Nigeria'","b'Lagos, Nigeria'",0
,,,,
b'18',b'Victor35517418',"b'Old African map eastern Africa map in 1635 BIAFRA was there,but the zoo called Nigeria is not there https://t.co/kGOiWuEfpf'",b'Deutschland',1
,,,,
b'19',b'Ogbadoyi1',"b""@MusaKallah @EuginhoCortez Does it mean this people don't realize that Igbos as in Biafrans are NOT interested in the zoo called Nigeria or it's presidency?""",b'',1
,,,,
b'20',b'YAPD2020',b'We are working to improve access to quality education for most of the vulnerable and marginalized children especially the Almajiri and girls child in Nigeria @USAID @KentPage @UNICEF_Nigeria @UNFPANigeria @EduCannotWait @YasmineSherif1 @Malala @TheGlobalGoals https://t.co/dQVdRd72f4',b'Hayin Banki Kaduna State',0
,,,,
b'21',b'ichokunwadibia',b'@OvieAli @William_Ukpe Ipobians are @PeterObi stans! @OvieAli your insincerity know NO bounds. Ipob that humiliate Peter Obi during last Anambra election and have been attacking Peter Obi anytime they see the opportunity. Next you guys will coin it that Peter is the chief sponsor of Ipob.',b'',0
,,,,
b'22',b'arne_nutton',"b""You're not afraid to take an emotional or financial risk -- pl... More for Aquarius https://t.co/WgAhF7pXaS""",b'',0
,,,,
b'23',b'DoAsinglegirl',"b""@LegbeOluwafemi @enigma_kaye Who born almajiri?\nHuman parents\n\nAn epidemic?\nYes, if not properly addressed to fit in a proper Islamic educational system.\nNorthern states alone?\nNo, its in other states only not in this form\nWealthy birth almajiri?\nYes, if they're negligence of their parental duties &amp; careless""",b'Nigeria',0
,,,,
